ps1_objid,ps1_ra,ps1_ra_error,ps1_dec,ps1_dec_error,ps1_gpsf,ps1_gpsf_error,ps1_rpsf,ps1_rpsf_error,ps1_ipsf,ps1_ipsf_error,ps1_zpsf,ps1_zpsf_error,ps1_ypsf,ps1_ypsf_error,teff,logg,feh,sam_g,sam_r,sam_i,sam_z,sam_y,sam_j,sam_h,sam_k,scale_factor,scale_factor_error,chi2,computed_j,computed_j_error,computed_h,computed_h_error,computed_k,computed_k_error,gaia_source_id,gaia_ra,gaia_ra_error,gaia_dec,gaia_dec_error,gaia_parallax,gaia_parallax_error,gaia_pm,gaia_pm_ra,gaia_pm_ra_error,gaia_pm_dec,gaia_pm_dec_error,gaia_ruwe,objinfoflag,qualityflag,ndetections,nstackdetections,ginfoflag,ginfoflag2,ginfoflag3,rinfoflag,rinfoflag2,rinfoflag3,iinfoflag,iinfoflag2,iinfoflag3,zinfoflag,zinfoflag2,zinfoflag3,yinfoflag,yinfoflag2,yinfoflag3,SAM Flag
1.0852334443857208e+17,334.44386848,0.014739999547600746,0.43471085,0.013059999793767929,23.087597955088334,0.15427009769417233,21.98570665083539,0.06612509928725495,20.611405081338212,0.015679017877591284,20.04070408739143,0.026639056910799097,19.723960140256256,0.05928601193364551,3500.0,3.25,-3.0,-33.677217,-34.602317,-35.952519,-36.488743,-36.782246,-37.192955,-37.549409,-37.234588,56.59048318298193,0.036134246340012555,18.342917394365294,18.52200594295832,0.036134246340012555,17.672908476676426,0.036134246340012555,17.520581055355507,0.036134246340012555,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,53.0,5.0,195035141.0,655360.0,196608.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144005.0,524416.0,196608.0,195035141.0,655360.0,196608.0,c1
1.0844334126472923e+17,334.12653315,0.0025400000158697367,0.37395817,0.0020800000056624413,16.522845829679238,0.0012679954109976012,15.629964182512941,0.0006534264975837992,15.267911216465931,0.0003936238782159424,15.083882829413671,0.0012151706741909058,15.088119069171254,0.0014762398113233443,4687.5,0.0,0.3,-36.663787,-37.474445,-37.818995,-37.958243,-38.043607,-38.1372,-38.187792,-37.7592,53.110360025448614,0.00048355525249993637,9882.716114471237,14.097637785425004,0.00048355525249993637,13.554402319143108,0.00048355525249993637,13.515845897822198,0.00048355525249993637,2.67877886781678e+18,334.1265433538002,0.043223925,0.37395852047548744,0.052030183,1.2392458846968184,0.05122686,20.355139,19.99844553968032,0.050823513,-3.793924693149851,0.05657911,1.0787594,503635968.0,60.0,91.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.0826334262625611e+17,334.26260427,0.009630000218749046,0.2213477,0.009789999574422836,21.88940881213518,0.05387400097937698,20.75531442607941,0.02660002757497611,20.22517759430458,0.011602111411652148,19.921323462161,0.024022092058440338,19.902966518637246,0.0534650279240247,4062.5,1.75,1.0,-35.560302,-36.542015,-37.017595,-37.248168,-37.397624,-37.625079,-37.884681,-37.515085,57.291978962663485,0.016947151448552897,20.350270669131596,18.791377722639876,0.016947151448552897,18.03913225635798,0.016947151448552897,17.941579835037068,0.016947151448552897,2.678726232992469e+18,334.2625969193592,2.0893006,0.22133493690357983,2.9150407,nan,nan,nan,nan,nan,nan,nan,nan,436527104.0,52.0,68.0,5.0,195035141.0,655360.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,195035141.0,524416.0,196608.0,K0
1.0837334361051672e+17,334.36105966,0.0064199999906122684,0.31357374,0.005369999911636114,21.87074317774013,0.05350701668238014,20.583839219867038,0.022502034120672677,19.519624238418327,0.006341206543057196,18.926590384176006,0.012453178138956399,18.70004472326938,0.018820076691763544,3800.0,4.0,-4.0,-34.440281,-35.346155,-36.454101,-36.933336,-37.15391,-37.481402,-37.823289,-37.470425,55.985724948694184,0.012520112150747817,107.09074782804652,17.62880070867057,0.012520112150747817,16.794270242388677,0.012520112150747817,16.679985821067767,0.012520112150747817,2.6791022960336983e+18,334.3610593414044,0.5664617,0.3135750198394794,0.61368823,1.5644661009958776,0.66223484,4.414895,2.779135436681339,0.9461861,3.4304086437350287,0.81010693,0.96310437,436527104.0,52.0,78.0,5.0,195035141.0,655360.0,196608.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.0827334261104363e+17,334.26111508,0.003809999907389283,0.22765073,0.004679999779909849,20.579307404728187,0.019754336402135447,19.37393799790225,0.008153517707404549,18.60048102085958,0.0033168816146255556,18.134353711439648,0.006446384889717647,17.859301627022145,0.014227118029377666,3900.0,4.0,-3.4,-34.837178,-35.876896,-36.714769,-37.093888,-37.264021,-37.54947,-37.834464,-37.485513,55.266826752390365,0.0053354742128787665,467.2866633062834,16.841834512366756,0.0053354742128787665,16.064197046084864,0.0053354742128787665,15.945999624763951,0.0053354742128787665,2.6787262286975355e+18,334.26111707890027,0.29583883,0.22764782847411597,0.27848113,0.9149921614377245,0.33834806,11.047942,4.754076661912601,0.33122513,-9.972752418331716,0.30618286,0.99579763,436527104.0,52.0,70.0,5.0,262144005.0,655488.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
1.081633428891047e+17,334.28889464,0.019290000200271606,0.13687933,0.02198999933898449,21.631454655881,0.04853703838698207,21.269714679694456,0.03702002430023197,21.231357402575675,0.02545105374952756,21.114900149225083,0.0771700283158554,20.95652032551449,0.15374300817373976,5875.0,0.0,-0.3,-38.391778,-38.712728,-38.780938,-38.824747,-38.863611,-38.706352,-38.48518,-38.021917,59.95554984257814,0.03685984713159348,1.0330608536345152,20.373675602554524,0.03685984713159348,20.102204136272633,0.03685984713159348,20.098318714951716,0.03685984713159348,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,52.0,5.0,35651585.0,128.0,196608.0,102760453.0,128.0,196608.0,102760517.0,128.0,196608.0,35651585.0,0.0,196608.0,35651585.0,0.0,196608.0,K0
1.0821334240632558e+17,334.24060438,0.011989999562501907,0.1792343,0.009399999864399433,18.830530733682256,0.005579936313430436,18.344100811128186,0.0043385213638773125,18.21789583803465,0.003108233423067945,18.043420227065337,0.006191419743712973,18.05894463473992,0.016155111849169203,5500.0,0.0,0.1,-37.945074,-38.380303,-38.524053,-38.582567,-38.637235,-38.559103,-38.421647,-37.961953,56.712824848930076,0.0037891470765914707,131.11703084180547,17.278199608906466,0.0037891470765914707,16.92301214262457,0.0037891470765914707,16.915557721303657,0.0037891470765914707,2.6787243389118986e+18,334.24060333074056,0.17188539,0.17923400204037596,0.15754333,0.3001076633507357,0.19845788,3.5050979,3.488600729285202,0.18596035,0.33967062795079206,0.17497501,1.007525,503635968.0,60.0,63.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,K0
1.087033435851462e+17,334.35853012,0.010180000215768814,0.58821096,0.01071999967098236,21.418304190023303,0.03637301150915178,20.717462507106077,0.021070100379075696,20.462217283577544,0.01272115894148628,20.3866546211255,0.038324059615564586,20.341683792857083,0.08258702245093189,5125.0,0.0,-0.1,-37.382845,-38.036124,-38.257332,-38.320825,-38.396793,-38.401186,-38.314077,-37.868821,58.74404827893791,0.02021694616283265,4.243171235099069,19.467340038914298,0.02021694616283265,19.06180557263241,0.02021694616283265,19.039913151311495,0.02021694616283265,2.679163769900836e+18,334.3585311889184,3.2960005,0.5882091087384622,3.1325238,nan,nan,nan,nan,nan,nan,nan,nan,436527104.0,52.0,69.0,5.0,262144005.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,195035205.0,655488.0,196608.0,195035141.0,524416.0,196608.0,K0
1.0842334500957122e+17,334.50096237,0.009309999644756317,0.35058101,0.009479999542236328,22.393875415510223,0.11841306960051091,21.236469656635023,0.03360805446143522,20.16844168576398,0.011857000591546499,19.74627827320211,0.022228079859993612,19.451929942260065,0.03875902661613115,3600.0,5.25,-3.7,-34.370028,-35.353768,-36.408712,-36.78025,-37.127324,-37.440923,-37.784489,-37.399731,56.60741539467429,0.02629683974809018,17.55582592532322,18.290970154650683,0.02629683974809018,17.454760688368786,0.02629683974809018,17.37237026704787,0.02629683974809018,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,436527104.0,52.0,64.0,5.0,195035141.0,655360.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,195035205.0,524416.0,196608.0,c1
1.0830334171540422e+17,334.17157125,0.002300000051036477,0.25312415,0.0023799999617040157,19.971692501504656,0.010922956458191036,18.753735812978135,0.004281288145907511,17.548670271286806,0.0014453736401284353,17.05249771982194,0.003314768804847908,16.731753153697316,0.004157419759308061,3600.0,5.25,-3.6,-34.029413,-34.985993,-36.222136,-36.695426,-36.990327,-37.347104,-37.702214,-37.356916,53.796328891857776,0.002592306634795209,2548.647509495219,15.573702651834164,0.002592306634795209,14.725949185552274,0.002592306634795209,14.604098764231361,0.002592306634795209,2.678772820502777e+18,334.17156780747274,0.18347959,0.2531217329475301,0.20369326,2.4617586836639385,0.21574505,7.030017,-3.8407357768133483,0.20150214,-5.888113787083493,0.23853159,0.96544677,503635968.0,60.0,80.0,5.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,262144069.0,524416.0,196608.0,c1
